round,accuracy
1,91.31382857142859
2,92.75120000000001
3,93.59777142857143
4,94.19160000000002
5,94.60005714285712
6,94.98434285714285
7,95.29537142857143
8,95.49468571428571
9,95.64417142857143
10,95.78514285714286
