round,accuracy
1,87.53605714285713
2,89.65542857142856
3,91.52782857142859
4,94.31045714285716
5,95.66965714285716
6,96.04262857142858
7,96.30468571428571
8,96.52194285714286
9,96.7014285714286
10,96.87085714285713
