round,accuracy
1,72.30566666666667
2,77.04766666666666
3,78.98299999999999
4,80.18213333333333
5,81.07453333333333
6,81.79153333333332
7,82.27113333333332
8,82.75486666666666
9,83.01593333333332
10,83.4278
