round,accuracy
1,96.86133333333333
2,97.68006666666666
3,97.95766666666667
4,98.10586666666669
5,98.20106666666666
6,98.28533333333334
7,98.34986666666667
8,98.4280666666667
9,98.4536
10,98.52040000000001
