round,accuracy
1,53.7614
2,58.48706666666667
3,61.06233333333332
4,62.78913333333334
5,63.986133333333335
6,64.90673333333334
7,65.67473333333332
8,66.32873333333333
9,66.9358
10,67.34873333333333
