round,accuracy
1,82.24780000000001
2,86.10173333333333
3,87.91139999999997
4,88.92406666666669
5,89.59646666666666
6,89.90246666666665
7,90.18879999999999
8,90.57719999999998
9,90.91940000000001
10,91.16793333333334
