round,accuracy
1,45.44806666666666
2,50.19259999999999
3,52.93960000000001
4,54.74653333333334
5,56.19799999999999
6,57.20053333333334
7,58.10566666666668
8,58.82439999999999
9,59.442066666666676
10,59.97933333333334
