round,accuracy
1,80.92754285714285
2,83.33325714285715
3,84.46697142857141
4,85.47
5,86.24702857142854
6,87.09708571428575
7,87.82845714285713
8,88.5096
9,89.1781714285714
10,89.59559999999999
